Symbol,Company Name,Industry,Market Cap
RRBI,"Red River Bancshares, Inc.",Banks - Regional,340.37M
RRC,Range Resources Corporation,Oil & Gas Exploration & Production,8.56B
RRGB,"Red Robin Gourmet Burgers, Inc.",Restaurants,117.65M
RRR,"Red Rock Resorts, Inc.",Resorts & Casinos,3.02B
RRX,Regal Rexnord Corporation,Specialty Industrial Machinery,10.65B
RS,Reliance Steel & Aluminum Co.,Steel,16.87B
RSG,"Republic Services, Inc.",Waste Management,59.64B
RSI,"Rush Street Interactive, Inc.",Gambling,1.90B
RSKD,Riskified Ltd.,Software - Application,915.68M
RSLS,ReShape Lifesciences Inc.,Medical Devices,4.00M
RSSS,"Research Solutions, Inc.",Software - Application,94.27M
RSVR,"Reservoir Media, Inc.",Entertainment,539.97M
RTC,Baijiayun Group Ltd,Software - Application,89.28M
RTO,Rentokil Initial plc,Specialty Business Services,13.56B
RTX,RTX Corp,Aerospace & Defense,140.91B
RUM,Rumble Inc.,Software - Application,2.64B
RUN,Sunrun Inc.,Solar,2.61B
RUSHA,"Rush Enterprises, Inc.",Auto & Truck Dealerships,3.62B
RUSHB,"Rush Enterprises, Inc.",Auto & Truck Dealerships,3.62B
RVLV,"Revolve Group, Inc.",Internet Retail,1.50B
RVMD,"Revolution Medicines, Inc.",Biotechnology,6.40B
RVNC,"Revance Therapeutics, Inc.",Biotechnology,353.29M
RVP,"Retractable Technologies, Inc.",Medical Instruments & Supplies,32.63M
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",Biotechnology,53.60M
RVSB,"Riverview Bancorp, Inc.",Banks - Regional,88.88M
RVSN,Rail Vision Ltd.,Railroads,17.14M
RVTY,"Revvity, Inc.",Diagnostics & Research,13.00B
RVYL,Ryvyl Inc.,Software - Infrastructure,8.19M
RWAY,Runway Growth Finance Corp.,Credit Services,456.30M
RWOD,Redwoods Acquisition Corp.,Shell Companies,10.65M
RWT,"Redwood Trust, Inc.",REIT - Mortgage,846.04M
RXO,"RXO, Inc.",Trucking,2.42B
RXRX,"Recursion Pharmaceuticals, Inc.",Biotechnology,1.91B
RXST,"RxSight, Inc.",Medical Devices,2.18B
RXT,"Rackspace Technology, Inc.",Software - Infrastructure,449.49M
RY,Royal Bank of Canada,Banks - Diversified,145.85B
RYAAY,Ryanair Holdings plc,Airlines,23.73B
RYAM,Rayonier Advanced Materials Inc.,Chemicals,301.16M
RYAN,"Ryan Specialty Holdings, Inc.",Insurance - Specialty,6.39B
RYDE,Ryde Group Ltd,Software - Application,140.67M
RYI,Ryerson Holding Corporation,Metal Fabrication,769.09M
RYN,Rayonier Inc.,REIT - Specialty,4.40B
RYTM,"Rhythm Pharmaceuticals, Inc.",Biotechnology,2.34B
RZLT,"Rezolute, Inc.",Biotechnology,117.17M
S,"SentinelOne, Inc.",Software - Infrastructure,6.73B
SA,Seabridge Gold Inc.,Gold,1.28B
SABR,Sabre Corporation,Software - Infrastructure,1.07B
SABS,"SAB Biotherapeutics, Inc.",Biotechnology,38.79M
SACH,Sachem Capital Corp.,REIT - Mortgage,150.64M
SAFE,Safehold Inc.,REIT - Diversified,1.36B
SAFT,"Safety Insurance Group, Inc.",Insurance - Property & Casualty,1.24B
SAGE,"Sage Therapeutics, Inc.",Biotechnology,725.49M
SAH,"Sonic Automotive, Inc.",Auto & Truck Dealerships,1.93B
SAI,SAI.TECH Global Corporation,Capital Markets,22.12M
SAIA,"Saia, Inc.",Trucking,10.95B
SAIC,Science Applications International Corporation,Information Technology Services,6.90B
SAM,"The Boston Beer Company, Inc.",Beverages - Brewers,3.54B
SAMG,Silvercrest Asset Management Group Inc.,Asset Management,142.37M
SAN,"Banco Santander, S.A.",Banks - Diversified,78.24B
SANA,"Sana Biotechnology, Inc.",Biotechnology,1.67B
SAND,Sandstorm Gold Ltd.,Gold,1.69B
SANG,Sangoma Technologies Corporation,Software - Infrastructure,146.63M
SANM,Sanmina Corporation,Electronic Components,3.59B
SANW,S&W Seed Company,Farm Products,17.33M
SAP,SAP SE,Software - Application,221.87B
SAR,Saratoga Investment Corp.,Asset Management,314.67M
SASR,"Sandy Spring Bancorp, Inc.",Banks - Regional,1.02B
SATL,Satellogic Inc.,Aerospace & Defense,135.46M
SATS,EchoStar Corporation,Communication Equipment,4.07B
SATX,Satixfy Communications Ltd.,Communication Equipment,51.82M
SAVA,"Cassava Sciences, Inc.",Biotechnology,882.23M
SAVE,"Spirit Airlines, Inc.",Airlines,424.86M
SB,"Safe Bulkers, Inc.",Marine Shipping,608.87M
SBAC,SBA Communications Corporation,REIT - Specialty,21.14B
SBCF,Seacoast Banking Corporation of Florida,Banks - Regional,2.07B
SBET,SharpLink Gaming Ltd.,Gambling,3.46M
SBEV,"Splash Beverage Group, Inc.",Beverages - Wineries & Distilleries,14.07M
SBFG,"SB Financial Group, Inc.",Banks - Regional,92.51M
SBFM,"Sunshine Biopharma, Inc.",Drug Manufacturers - Specialty & Generic,924.81K
SBGI,"Sinclair Broadcast Group, Inc.",Entertainment,990.75M
SBH,"Sally Beauty Holdings, Inc.",Specialty Retail,1.09B
SBLK,Star Bulk Carriers Corp.,Marine Shipping,2.93B
SBOW,"SilverBow Resources, Inc.",Oil & Gas Exploration & Production,843.41M
SBR,Sabine Royalty Trust,Oil & Gas Exploration & Production,926.22M
SBRA,"Sabra Health Care REIT, Inc.",REIT - Healthcare Facilities,3.37B
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities - Regulated Water,10.43B
SBSI,"Southside Bancshares, Inc.",Banks - Regional,845.25M
SBSW,Sibanye Stillwater Limited,Gold,3.37B
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",Banks - Regional,262.68M
SBUX,Starbucks Corporation,Restaurants,86.23B
SBXC,SilverBox Corp III,Shell Companies,182.07M
SCCO,Southern Copper Corporation,Copper,92.92B
SCHL,Scholastic Corporation,Publishing,987.77M
SCHW,The Charles Schwab Corporation,Capital Markets,134.90B
SCI,Service Corporation International,Personal Services,10.12B
SCKT,"Socket Mobile, Inc.",Computer Hardware,9.51M
SCL,Stepan Company,Specialty Chemicals,1.99B
SCLX,Scilex Holding Company,Drug Manufacturers - General,126.34M
SCM,Stellus Capital Investment Corporation,Asset Management,341.86M
SCNI,Scinai Immunotherapeutics Ltd.,Biotechnology,2.56M
SCOR,"comScore, Inc.",Internet Content & Information,68.47M
SCPH,scPharmaceuticals Inc.,Biotechnology,162.97M
SCPX,"Scorpius Holdings, Inc.",Biotechnology,6.62M
SCRM,Screaming Eagle Acquisition Corp.,Shell Companies,411.34M
SCS,Steelcase Inc.,Business Equipment & Supplies,1.50B
SCSC,"ScanSource, Inc.",Electronics & Computer Distribution,1.18B
SCVL,"Shoe Carnival, Inc.",Apparel Retail,942.58M
SCWO,"374Water, Inc.",Pollution & Treatment Controls,191.05M
SCWX,SecureWorks Corp.,Software - Infrastructure,567.69M
SCX,The L.S. Starrett Company,Tools & Accessories,117.59M
SCYX,"SCYNEXIS, Inc.",Drug Manufacturers - Specialty & Generic,74.58M
SD,"SandRidge Energy, Inc.",Oil & Gas Exploration & Production,500.26M
SDA,SunCar Technology Group Inc.,Auto & Truck Dealerships,684.45M
SDGR,"Schrödinger, Inc.",Health Information Services,1.64B
SDHC,Smith Douglas Homes Corp.,Real Estate - Development,1.51B
SDIG,"Stronghold Digital Mining, Inc.",Capital Markets,37.53M
SDOT,Sadot Group Inc.,Farm Products,17.68M
SDPI,"Superior Drilling Products, Inc.",Oil & Gas Equipment & Services,37.38M
SDRL,Seadrill Limited,Oil & Gas Drilling,3.72B
SE,Sea Limited,Internet Retail,37.26B
SEAT,Vivid Seats Inc.,Internet Content & Information,724.95M
SEB,Seaboard Corporation,Conglomerates,3.11B
SEDA,SDCL EDGE Acquisition Corporation,Shell Companies,200.85M
SEDG,"SolarEdge Technologies, Inc.",Solar,2.88B
SEE,Sealed Air Corporation,Packaging & Containers,5.44B
SEED,Origin Agritech Limited,Agricultural Inputs,30.61M
SEEL,"Seelos Therapeutics, Inc.",Biotechnology,4.48M
SEER,"Seer, Inc.",Biotechnology,129.22M
SEIC,SEI Investments Company,Asset Management,9.00B
SELF,"Global Self Storage, Inc.",REIT - Industrial,57.55M
SELX,Semilux International Ltd.,Electronic Components,86.56M
SEM,Select Medical Holdings Corporation,Medical Care Facilities,4.32B
SEMR,"Semrush Holdings, Inc.",Software - Application,2.19B
SENEA,Seneca Foods Corporation,Packaged Foods,426.44M
SENEB,Seneca Foods Corporation,Packaged Foods,422.62M
SENS,"Senseonics Holdings, Inc.",Medical Devices,256.68M
SEPA,SEP Acquisition Corp.,Shell Companies,62.13M
SER,Serina Therapeutics Inc,Biotechnology,73.12M
SERA,"Sera Prognostics, Inc.",Diagnostics & Research,285.06M
SERV,Serve Robotics Inc.,null,85.29M
SES,SES AI Corporation,Auto Parts,506.96M
SEVN,Seven Hills Realty Trust,REIT - Mortgage,186.47M
SEZL,Sezzle Inc.,Credit Services,479.07M
SF,Stifel Financial Corp.,Capital Markets,8.61B
SFBC,"Sound Financial Bancorp, Inc.",Banks - Regional,101.40M
SFBS,"ServisFirst Bancshares, Inc.",Banks - Regional,3.48B
SFIX,"Stitch Fix, Inc.",Apparel Retail,254.16M
SFL,SFL Corporation Ltd.,Marine Shipping,1.96B
SFM,"Sprouts Farmers Market, Inc.",Grocery Stores,7.62B
SFNC,Simmons First National Corporation,Banks - Regional,2.23B
SFST,"Southern First Bancshares, Inc.",Banks - Regional,224.37M
SFWL,Shengfeng Development Limited,Integrated Freight & Logistics,171.80M
SG,"Sweetgreen, Inc.",Restaurants,3.58B
SGA,"Saga Communications, Inc.",Broadcasting,130.09M
SGBX,Safe & Green Holdings Corp.,Metal Fabrication,4.57M
SGC,"Superior Group of Companies, Inc.",Apparel Manufacturing,309.12M
SGD,Safe and Green Development Corporation,Real Estate - Development,9.05M
SGE,"Strong Global Entertainment, Inc.",Computer Hardware,15.20M
SGH,"SMART Global Holdings, Inc.",Semiconductors,981.24M
SGHC,Super Group (SGHC) Limited,Gambling,1.66B
SGHT,"Sight Sciences, Inc.",Medical Devices,262.22M
SGLY,Singularity Future Technology Ltd.,Integrated Freight & Logistics,15.91M
SGMA,"SigmaTron International, Inc.",Electronic Components,28.89M
SGML,Sigma Lithium Corporation,Other Industrial Metals & Mining,1.86B
SGMO,"Sangamo Therapeutics, Inc.",Biotechnology,116.50M
SGMT,Sagimet Biosciences Inc.,Biotechnology,140.90M
SGN,Signing Day Sports Inc.,Software - Application,9.54M
SGRP,"SPAR Group, Inc.",Specialty Business Services,42.86M
SGRY,"Surgery Partners, Inc.",Medical Care Facilities,3.41B
SGU,"Star Group, L.P.",Oil & Gas Refining & Marketing,372.56M
SHAK,Shake Shack Inc.,Restaurants,4.10B
SHBI,"Shore Bancshares, Inc.",Banks - Regional,368.97M
SHC,Sotera Health Company,Diagnostics & Research,3.10B
SHCO,Soho House & Co Inc.,Lodging,1.03B
SHCR,"Sharecare, Inc.",Health Information Services,268.89M
SHEL,Shell plc,Oil & Gas Integrated,237.29B
SHEN,Shenandoah Telecommunications Company,Telecom Services,913.12M
SHFS,"SHF Holdings, Inc.",Banks - Regional,43.70M
SHG,"Shinhan Financial Group Co., Ltd.",Banks - Regional,17.81B
SHIM,Shimmick Corporation,Engineering & Construction,88.87M
SHIP,Seanergy Maritime Holdings Corp.,Marine Shipping,216.40M
SHLS,"Shoals Technologies Group, Inc.",Solar,1.21B
SHLT,SHL Telemedicine Ltd.,Health Information Services,67.11M
SHMD,SCHMID Group N.V.,Shell Companies,120.07M
SHO,"Sunstone Hotel Investors, Inc.",REIT - Hotel & Motel,2.09B
SHOO,"Steven Madden, Ltd.",Footwear & Accessories,3.03B
SHOP,Shopify Inc.,Software - Application,75.94B
SHOT,Safety Shot Inc,Beverages - Non-Alcoholic,62.02M
SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",Drug Manufacturers - Specialty & Generic,6.93M
SHPW,"Shapeways Holdings, Inc.",Specialty Industrial Machinery,7.35M
SHW,The Sherwin-Williams Company,Specialty Chemicals,81.13B
SHYF,"The Shyft Group, Inc.",Farm & Heavy Construction Machinery,427.61M
SIBN,"SI-BONE, Inc.",Medical Devices,630.83M
SID,Companhia Siderúrgica Nacional,Steel,3.54B
SIDU,"Sidus Space, Inc.",Aerospace & Defense,13.46M
SIEB,Siebert Financial Corp.,Capital Markets,83.12M
SIF,"SIFCO Industries, Inc.",Aerospace & Defense,19.15M
SIFY,Sify Technologies Limited,Telecom Services,220.32M
SIG,Signet Jewelers Limited,Luxury Goods,4.24B
SIGA,"SIGA Technologies, Inc.",Drug Manufacturers - Specialty & Generic,536.31M
SIGI,"Selective Insurance Group, Inc.",Insurance - Property & Casualty,6.01B
SII,Sprott Inc.,Asset Management,1.09B
SILC,Silicom Ltd.,Communication Equipment,104.41M
SILK,"Silk Road Medical, Inc",Medical Devices,820.00M
SILO,"Silo Pharma, Inc.",Biotechnology,4.83M
SILV,SilverCrest Metals Inc.,Other Precious Metals & Mining,1.24B
SIM,"Grupo Simec, SAB de CV",Steel,5.34B
SIMO,Silicon Motion Technology Corporation,Semiconductors,2.53B
SINT,"Sintx Technologies, Inc.",Medical Devices,5.24M
SIRI,Sirius XM Holdings Inc.,Entertainment,11.66B
SISI,"Shineco, Inc.",Farm Products,5.07M
SITC,SITE Centers Corp.,REIT - Retail,2.91B
SITE,"SiteOne Landscape Supply, Inc.",Industrial Distribution,7.01B
SITM,SiTime Corporation,Semiconductors,2.82B
SIX,Six Flags Entertainment Corporation,Leisure,2.25B
SJ,Scienjoy Holding Corporation,Broadcasting,36.36M
SJM,The J. M. Smucker Company,Packaged Foods,12.19B
SJT,San Juan Basin Royalty Trust,Oil & Gas Exploration & Production,201.36M
SJW,SJW Group,Utilities - Regulated Water,1.84B
SKE,Skeena Resources Limited,Other Industrial Metals & Mining,457.16M
SKGR,SK Growth Opportunities Corporation,Shell Companies,170.25M
SKIL,Skillsoft Corp.,Education & Training Services,60.97M
SKIN,The Beauty Health Company,Household & Personal Products,333.87M
SKLZ,Skillz Inc.,Electronic Gaming & Multimedia,120.01M
SKM,"SK Telecom Co.,Ltd",Telecom Services,8.01B
SKT,"Tanger Factory Outlet Centers, Inc.",REIT - Retail,3.01B
SKWD,"Skyward Specialty Insurance Group, Inc.",Insurance - Property & Casualty,1.48B
SKX,"Skechers U.S.A., Inc.",Footwear & Accessories,10.39B
SKY,Skyline Champion Corporation,Residential Construction,4.58B
SKYE,"Skye Bioscience, Inc.",Biotechnology,10.73B
SKYH,Sky Harbour Group Corporation,Aerospace & Defense,802.37M
SKYT,"SkyWater Technology, Inc.",Semiconductors,359.33M
SKYW,"SkyWest, Inc.",Airlines,3.12B
SKYX,SKYX Platforms Corp.,Electrical Equipment & Parts,94.68M
SLAB,Silicon Laboratories Inc.,Semiconductors,3.99B
SLAM,Slam Corp.,Shell Companies,259.51M
SLB,Schlumberger Limited,Oil & Gas Equipment & Services,69.10B
SLCA,"U.S. Silica Holdings, Inc.",Oil & Gas Equipment & Services,1.22B
SLDB,Solid Biosciences Inc.,Biotechnology,375.01M
SLDP,"Solid Power, Inc.",Electrical Equipment & Parts,312.56M
SLE,"Super League Enterprise, Inc.",Internet Content & Information,9.04M
SLF,Sun Life Financial Inc.,Insurance - Diversified,29.59B
SLG,SL Green Realty Corp.,REIT - Office,3.34B
SLGL,Sol-Gel Technologies Ltd.,Biotechnology,19.45M
SLGN,Silgan Holdings Inc.,Packaging & Containers,5.06B
SLI,Standard Lithium Ltd.,Other Industrial Metals & Mining,313.28M
SLM,SLM Corporation,Credit Services,4.81B
SLN,Silence Therapeutics plc,Biotechnology,971.91M
SLNA,Selina Hospitality PLC,Resorts & Casinos,5.61M
SLND,"Southland Holdings, Inc.",Engineering & Construction,223.26M
SLNG,"Stabilis Solutions, Inc.",Oil & Gas Integrated,77.50M
SLNH,"Soluna Holdings, Inc.",Capital Markets,10.63M
SLNO,"Soleno Therapeutics, Inc.",Biotechnology,1.49B
SLP,"Simulations Plus, Inc.",Health Information Services,955.68M
SLQT,"SelectQuote, Inc.",Insurance Brokers,437.69M
SLRC,SLR Investment Corp.,Asset Management,880.78M
SLRN,"Acelyrin, Inc.",Biotechnology,454.58M
SLRX,"Salarius Pharmaceuticals, Inc.",Biotechnology,2.45M
SLS,"SELLAS Life Sciences Group, Inc.",Biotechnology,80.57M
SLSR,Solaris Resources Inc.,Other Precious Metals & Mining,580.64M
SLVM,Sylvamo Corporation,Paper & Paper Products,2.60B
SM,SM Energy Company,Oil & Gas Exploration & Production,5.68B
SMAR,Smartsheet Inc.,Software - Application,5.55B
SMBC,"Southern Missouri Bancorp, Inc.",Banks - Regional,472.79M
SMBK,"SmartFinancial, Inc.",Banks - Regional,383.61M
SMCI,"Super Micro Computer, Inc.",Computer Hardware,46.74B
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Banks - Diversified,75.61B
SMG,The Scotts Miracle-Gro Company,Agricultural Inputs,3.87B
SMID,Smith-Midland Corporation,Building Materials,179.23M
SMLP,"Summit Midstream Partners, LP",Oil & Gas Midstream,348.21M
SMLR,"Semler Scientific, Inc.",Medical Devices,158.69M
SMMT,Summit Therapeutics Inc.,Biotechnology,3.27B
SMP,"Standard Motor Products, Inc.",Auto Parts,707.23M
SMPL,The Simply Good Foods Company,Packaged Foods,3.81B
SMR,NuScale Power Corporation,Specialty Industrial Machinery,1.53B
SMRT,"SmartRent, Inc.",Software - Application,483.17M
SMSI,"Smith Micro Software, Inc.",Software - Application,25.06M
SMTC,Semtech Corporation,Semiconductors,2.57B
SMTI,Sanara MedTech Inc.,Medical Instruments & Supplies,277.76M
SMWB,Similarweb Ltd.,Software - Application,565.60M
SMX,SMX (Security Matters) PLC,Specialty Business Services,768.96K
SMXT,"SolarMax Technology, Inc.",Solar,508.51M
SN,"SharkNinja, Inc.","Furnishings, Fixtures & Appliances",9.92B
SNA,Snap-on Incorporated,Tools & Accessories,14.83B
SNAL,"Snail, Inc.",Electronic Gaming & Multimedia,38.59M
SNAP,Snap Inc.,Internet Content & Information,26.38B
SNAX,"Stryve Foods, Inc.",Packaged Foods,5.57M
SNBR,Sleep Number Corporation,"Furnishings, Fixtures & Appliances",344.93M
SNCR,"Synchronoss Technologies, Inc.",Software - Infrastructure,86.64M
SNCY,"Sun Country Airlines Holdings, Inc.",Airlines,607.69M
SND,"Smart Sand, Inc.",Oil & Gas Equipment & Services,97.42M
SNDA,"Sonida Senior Living, Inc.",Medical Care Facilities,454.43M
SNDL,SNDL Inc.,Beverages - Wineries & Distilleries,614.30M
SNDR,"Schneider National, Inc.",Trucking,3.95B
SNDX,"Syndax Pharmaceuticals, Inc.",Biotechnology,1.84B
SNES,"SenesTech, Inc.",Specialty Chemicals,3.89M
SNEX,StoneX Group Inc.,Capital Markets,2.44B
SNFCA,Security National Financial Corporation,Mortgage Finance,152.70M
SNGX,"Soligenix, Inc.",Biotechnology,5.67M
SNN,Smith & Nephew plc,Medical Devices,10.96B
SNOA,"Sonoma Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2.38M
SNOW,Snowflake Inc.,Software - Application,52.12B
SNPO,Snap One Holdings Corp.,Electronics & Computer Distribution,812.05M
SNPS,"Synopsys, Inc.",Software - Infrastructure,84.40B
SNPX,"Synaptogenix, Inc.",Biotechnology,5.07M
SNSE,"Sensei Biotherapeutics, Inc.",Biotechnology,35.87M
SNT,Senstar Technologies Ltd.,Security & Protection Services,31.00M
SNTG,Sentage Holdings Inc.,Credit Services,5.36M
SNTI,"Senti Biosciences, Inc.",Biotechnology,16.24M
SNV,Synovus Financial Corp.,Banks - Regional,5.79B
SNX,TD SYNNEX Corporation,Electronics & Computer Distribution,10.58B
SNY,Sanofi,Drug Manufacturers - General,117.99B
SO,The Southern Company,Utilities - Regulated Electric,85.27B
SOAR,"Volato Group, Inc.",Airports & Air Services,47.00M
SOBR,"SOBR Safe, Inc.",Scientific & Technical Instruments,4.55M
SOC,Sable Offshore Corp.,Oil & Gas Drilling,745.14M
SOFI,"SoFi Technologies, Inc.",Credit Services,7.34B
SOGP,Sound Group Inc.,Internet Content & Information,14.02M
SOHO,Sotherly Hotels Inc.,REIT - Hotel & Motel,57.10M
SOHU,Sohu.com Limited,Electronic Gaming & Multimedia,387.49M
SOI,"Solaris Oilfield Infrastructure, Inc.",Oil & Gas Equipment & Services,392.06M
SOL,Emeren Group Ltd,Solar,109.70M
SOLV,Solventum Corporation,Health Information Services,11.13B
SON,Sonoco Products Company,Packaging & Containers,5.79B
SOND,Sonder Holdings Inc.,Lodging,42.60M
SONM,"Sonim Technologies, Inc.",Communication Equipment,24.19M
SONN,"Sonnet BioTherapeutics Holdings, Inc.",Biotechnology,5.53M
SONO,"Sonos, Inc.",Consumer Electronics,2.06B
SONY,Sony Group Corporation,Consumer Electronics,91.71B
SOPA,Society Pass Incorporated,Software - Application,5.24M
SOPH,SOPHiA GENETICS SA,Health Information Services,314.10M
SOS,SOS Limited,Software - Infrastructure,370.82M
SOTK,Sono-Tek Corporation,Scientific & Technical Instruments,76.99M
SOUN,"SoundHound AI, Inc.",Software - Application,1.61B
SP,SP Plus Corporation,Specialty Business Services,1.06B
SPB,"Spectrum Brands Holdings, Inc.",Household & Personal Products,2.86B
SPCB,SuperCom Ltd.,Security & Protection Services,6.78M
SPCE,"Virgin Galactic Holdings, Inc.",Aerospace & Defense,397.11M
SPEC,Spectaire Holdings Inc.,Pollution & Treatment Controls,8.49M
SPFI,"South Plains Financial, Inc.",Banks - Regional,454.24M
SPG,"Simon Property Group, Inc.",REIT - Retail,48.24B
SPGC,"Sacks Parente Golf, Inc.",Leisure,6.72M
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,135.13B
SPH,"Suburban Propane Partners, L.P.",Utilities - Regulated Gas,1.21B
SPHR,Sphere Entertainment Co.,Entertainment,1.43B
SPI,"SPI Energy Co., Ltd.",Solar,15.97M
SPIR,"Spire Global, Inc.",Specialty Business Services,301.87M
SPKL,Spark I Acquisition Corp. Class A Ordinary Share,Shell Companies,169.23M
SPLP,Steel Partners Holdings L.P.,Conglomerates,804.39M
SPNS,Sapiens International Corporation N.V.,Software - Application,1.88B
SPNT,SiriusPoint Ltd.,Insurance - Reinsurance,2.15B
SPOK,"Spok Holdings, Inc.",Health Information Services,302.88M
SPOT,Spotify Technology S.A.,Internet Content & Information,57.32B
SPPL,SIMPPLE LTD.,Software - Application,10.87M
SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace & Defense,3.57B
SPRB,"Spruce Biosciences, Inc.",Biotechnology,34.14M
SPRC,SciSparc Ltd.,Biotechnology,3.09M
SPRO,"Spero Therapeutics, Inc.",Biotechnology,87.30M
SPRU,Spruce Power Holding Corporation,Solar,72.64M
SPRY,"ARS Pharmaceuticals, Inc.",Biotechnology,842.01M
SPSC,"SPS Commerce, Inc.",Software - Infrastructure,7.11B
SPT,"Sprout Social, Inc.",Software - Application,1.58B
SPTN,SpartanNash Company,Food Distribution,698.60M
SPWH,"Sportsman's Warehouse Holdings, Inc.",Specialty Retail,116.45M
SPWR,SunPower Corporation,Solar,395.70M
SPXC,"SPX Technologies, Inc.",Building Products & Equipment,6.44B
SQ,"Block, Inc.",Software - Infrastructure,43.74B
SQFT,"Presidio Property Trust, Inc.",REIT - Diversified,11.49M
SQM,Sociedad Química y Minera de Chile S.A.,Specialty Chemicals,12.90B
SQNS,Sequans Communications S.A.,Semiconductors,27.75M
SQSP,"Squarespace, Inc.",Software - Infrastructure,5.22B
SR,Spire Inc.,Utilities - Regulated Gas,3.57B
SRAD,Sportradar Group AG,Software - Application,2.77B
SRBK,"SR Bancorp, Inc.",Banks - Regional,87.66M
SRCE,1st Source Corporation,Banks - Regional,1.28B
SRCL,"Stericycle, Inc.",Waste Management,4.33B
SRDX,"Surmodics, Inc.",Medical Devices,455.89M
SRE,Sempra,Utilities - Diversified,48.24B
SRFM,Surf Air Mobility Inc.,Airlines,36.08M
SRG,Seritage Growth Properties,REIT - Retail,522.96M
SRI,"Stoneridge, Inc.",Auto Parts,439.14M
SRL,Scully Royalty Ltd.,Capital Markets,88.79M
SRM,"SRM Entertainment, Inc.",Leisure,13.00M
SRPT,"Sarepta Therapeutics, Inc.",Biotechnology,12.27B
SRRK,Scholar Rock Holding Corporation,Biotechnology,1.08B
SRTS,"Sensus Healthcare, Inc.",Medical Devices,83.77M
SRZN,"Surrozen, Inc.",Biotechnology,32.47M
SSB,SouthState Corporation,Banks - Regional,6.15B
SSBI,Summit State Bank,Banks - Regional,63.43M
SSBK,"Southern States Bancshares, Inc.",Banks - Regional,237.76M
SSD,"Simpson Manufacturing Co., Inc.",Lumber & Wood Production,7.41B
SSIC,Silver Spike Investment Corp.,Drug Manufacturers - Specialty & Generic,70.23M
SSKN,"STRATA Skin Sciences, Inc.",Medical Devices,13.32M
SSL,Sasol Limited,Specialty Chemicals,4.65B
SSNC,"SS&C Technologies Holdings, Inc.",Software - Application,15.57B
SSNT,"SilverSun Technologies, Inc.",Software - Application,76.01M
SSP,The E.W. Scripps Company,Broadcasting,299.56M
SSRM,SSR Mining Inc.,Gold,1.08B
SSSS,SuRo Capital Corp.,Asset Management,97.74M
SST,"System1, Inc.",Specialty Business Services,150.72M
SSTI,SoundThinking Inc,Software - Application,178.85M
SSTK,"Shutterstock, Inc.",Internet Content & Information,1.44B
SSY,"SunLink Health Systems, Inc.",Pharmaceutical Retailers,4.24M
SSYS,Stratasys Ltd.,Computer Hardware,650.07M
ST,Sensata Technologies Holding plc,Scientific & Technical Instruments,6.36B
STAA,STAAR Surgical Company,Medical Instruments & Supplies,2.08B
STAF,"Staffing 360 Solutions, Inc.",Staffing & Employment Services,2.26M
STAG,"STAG Industrial, Inc.",REIT - Industrial,6.41B
STBA,"S&T Bancorp, Inc.",Banks - Regional,1.21B
STBX,Starbox Group Holdings Ltd.,Internet Content & Information,16.46M
STC,Stewart Information Services Corporation,Insurance - Property & Casualty,1.75B
STCN,"Steel Connect, Inc.",Advertising Agencies,78.51M
STE,STERIS plc,Medical Devices,22.61B
STEL,"Stellar Bancorp, Inc.",Banks - Regional,1.22B
STEM,"Stem, Inc.",Software - Infrastructure,192.61M
STEP,StepStone Group Inc.,Asset Management,2.51B
STER,Sterling Check Corp.,Software - Infrastructure,1.50B
STG,Sunlands Technology Group,Education & Training Services,124.64M
STGW,Stagwell Inc.,Advertising Agencies,809.43M
STHO,Star Holdings,Real Estate Services,171.96M
STI,Solidion Technology Inc.,Electrical Equipment & Parts,194.65M
STIM,"Neuronetics, Inc.",Diagnostics & Research,75.29M
STKH,Steakholder Foods Ltd.,Packaged Foods,10.76M
STKL,SunOpta Inc.,Packaged Foods,678.61M
STKS,"The ONE Group Hospitality, Inc.",Restaurants,167.78M
STLA,Stellantis N.V.,Auto Manufacturers,65.67B
STLD,"Steel Dynamics, Inc.",Steel,21.33B
STM,ST Microelectronics,Semiconductors,36.06B
STN,Stantec Inc.,Engineering & Construction,9.29B
STNE,StoneCo Ltd.,Software - Infrastructure,4.99B
STNG,Scorpio Tankers Inc.,Oil & Gas Midstream,4.17B
STOK,"Stoke Therapeutics, Inc.",Biotechnology,588.69M
STR,Sitio Royalties Corp.,Oil & Gas Exploration & Production,1.93B
STRA,"Strategic Education, Inc.",Education & Training Services,2.98B
STRL,"Sterling Infrastructure, Inc.",Engineering & Construction,3.97B
STRM,"Streamline Health Solutions, Inc.",Health Information Services,22.48M
STRO,"Sutro Biopharma, Inc.",Biotechnology,337.69M
STRR,"Star Equity Holdings, Inc.",Diagnostics & Research,14.42M
STRS,Stratus Properties Inc.,Real Estate - Diversified,189.70M
STRT,Strattec Security Corporation,Auto Parts,99.13M
