Symbol,Company Name,Industry,Market Cap
ATRI,Atrion Corporation,Medical Instruments & Supplies,769.10M
ATRO,Astronics Corporation,Aerospace & Defense,639.77M
ATS,ATS Corporation,Specialty Industrial Machinery,3.33B
ATSG,"Air Transport Services Group, Inc.",Airlines,974.09M
ATUS,"Altice USA, Inc.",Telecom Services,982.93M
ATXG,Addentax Group Corp.,Integrated Freight & Logistics,4.46M
ATXI,"Avenue Therapeutics, Inc.",Biotechnology,2.44M
ATXS,"Astria Therapeutics, Inc.",Biotechnology,531.56M
AU,AngloGold Ashanti Limited,Gold,10.31B
AUB,Atlantic Union Bankshares Corporation,Banks - Regional,3.04B
AUBN,"Auburn National Bancorporation, Inc.",Banks - Regional,66.42M
AUDC,AudioCodes Ltd.,Communication Equipment,303.86M
AUGX,"Augmedix, Inc.",Health Information Services,112.63M
AUID,authID Inc.,Software - Infrastructure,74.18M
AULT,"Ault Alliance, Inc.",Aerospace & Defense,10.56M
AUMN,Golden Minerals Company,Other Precious Metals & Mining,8.16M
AUNA,Auna S.A.,Medical Care Facilities,289.35M
AUPH,Aurinia Pharmaceuticals Inc.,Biotechnology,727.97M
AUR,"Aurora Innovation, Inc.",Information Technology Services,4.99B
AURA,"Aura Biosciences, Inc.",Biotechnology,367.04M
AUST,Austin Gold Corp.,Gold,12.81M
AUTL,Autolus Therapeutics plc,Biotechnology,689.44M
AUUD,Auddia Inc.,Software - Application,4.00M
AUVI,"Applied UV, Inc.","Furnishings, Fixtures & Appliances",2.66M
AVA,Avista Corporation,Utilities - Diversified,2.99B
AVAH,Aveanna Healthcare Holdings Inc.,Medical Care Facilities,479.02M
AVAL,Grupo Aval Acciones y Valores S.A.,Banks - Regional,2.84B
AVAV,"AeroVironment, Inc.",Aerospace & Defense,5.23B
AVB,"AvalonBay Communities, Inc.",REIT - Residential,27.97B
AVBP,"ArriVent BioPharma, Inc.",Biotechnology,595.85M
AVD,American Vanguard Corporation,Agricultural Inputs,264.31M
AVDL,Avadel Pharmaceuticals plc,Drug Manufacturers - Specialty & Generic,1.54B
AVDX,"AvidXchange Holdings, Inc.",Software - Infrastructure,2.32B
AVGO,Broadcom Inc.,Semiconductors,616.74B
AVGR,"Avinger, Inc.",Medical Instruments & Supplies,6.20M
AVIR,"Atea Pharmaceuticals, Inc.",Biotechnology,328.89M
AVNS,"Avanos Medical, Inc.",Medical Devices,893.98M
AVNT,Avient Corporation,Specialty Chemicals,4.14B
AVNW,"Aviat Networks, Inc.",Communication Equipment,393.17M
AVO,"Mission Produce, Inc.",Food Distribution,857.25M
AVPT,"AvePoint, Inc.",Software - Infrastructure,1.52B
AVRO,"AVROBIO, Inc.",Biotechnology,55.89M
AVT,"Avnet, Inc.",Electronics & Computer Distribution,4.69B
AVTE,"Aerovate Therapeutics, Inc.",Biotechnology,573.31M
AVTR,"Avantor, Inc.",Specialty Chemicals,16.81B
AVTX,"Avalo Therapeutics, Inc.",Biotechnology,11.01M
AVXL,Anavex Life Sciences Corp.,Biotechnology,307.59M
AVY,Avery Dennison Corporation,Packaging & Containers,18.22B
AWH,Aspira Women's Health Inc.,Diagnostics & Research,34.83M
AWI,"Armstrong World Industries, Inc.",Building Products & Equipment,5.15B
AWIN,AERWINS Technologies Inc.,Scientific & Technical Instruments,2.63M
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,26.29B
AWR,American States Water Company,Utilities - Regulated Water,2.90B
AWRE,"Aware, Inc.",Software - Application,43.46M
AWX,Avalon Holdings Corporation,Waste Management,8.66M
AX,"Axos Financial, Inc.",Banks - Regional,3.42B
AXDX,"Accelerate Diagnostics, Inc.",Medical Devices,19.39M
AXGN,"AxoGen, Inc.",Medical Devices,251.08M
AXIL,"AXIL Brands, Inc.",Consumer Electronics,64.96M
AXL,"American Axle & Manufacturing Holdings, Inc.",Auto Parts,885.17M
AXNX,"Axonics, Inc.",Medical Devices,3.43B
AXON,"Axon Enterprise, Inc.",Aerospace & Defense,22.92B
AXP,American Express Company,Credit Services,173.23B
AXR,AMREP Corporation,Real Estate - Development,110.70M
AXS,AXIS Capital Holdings Limited,Insurance - Specialty,5.96B
